NUMBER,NAME,LOCATION,TYPE,General Observations,SUMMIT CRATER,Crater Observations,Underwater Extent,Latitude,Longitude,Elevation Min (m),Elevation Max (m),Basal Area (km2),Basal Width (km),Minor Basal Axis (km),Major Basal Axis (km),Summit Area (km2),Summit Width (km),Height (km),Height Max (km),Volume (km3),Volume Max (km3),Height / Basal width,Summit width / Basal width,Ellipticity index [outline],Irregularity index [outline],Ellipticity index [avg. contours],Irregularity index [avg. contours],Mean Slope [total] (º),Mean Slope [flank] (º),Mean Slope [low flank] (º),Mean Slope [main flank] (º),Mean Slope [summit] (º),Max. Avg. Slope (º),Max. Avg. Slope Height Fraction,Azimuth Major Basal Axis (º),Avg. Azimuth Elevation contours (º),Sec. Peaks [total],Sec. Peaks [flank],Sec. Peaks [summit],Holes [total],Holes [flank],Holes [summit],Contours [flank],Contours [summit],Elevation Lowest Contour (m),Elevation Fraction Lowest Contour,Width Lowest Contour (m),Elevation Summit Region Contour (m),Elevation Fraction Summit Region Contour,Crater Elevation Min (m),Crater Elevation Min [fraction],Crater Area (km2),Crater Width (km),Major Crater Axis (km),Azimuth Major Crater Axis (º),Crater Depth (km),Crater Depth Max (km),Crater Volume (km3),Crater Volume Max (km3),Ellipticity index [crater outline],Irregularity index [crater outline],Crater Depth / Crater Width,Crater Width / Edifice Width,Crater Depth / Edifice Height,Crater Volume / Edifice Volume,Mean Crater Slope (º)
0101-02=,Vesuvius,Italy,Somma volcano,Summit region includes Monte Somma,NO,Small crater,No,40.822,14.428,133,1245,60.1,8.75,7.72,9.69,6.66,2.91,1.03,1.11,16.1,21.4,0.117,0.333,1.31,1.24,1.22,1.11,12.9,11.9,7.2,14.4,21.1,19.5,0.55,62,86,7,2,5,2,1,1,12,7,300,0.15,7.36,850,0.64, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0101-03=,Ischia,Italy,Complex volcano,,NO,,Totally,40.730,13.895,0,753,47.1,7.75,5.23,9.77,0.53,0.82,0.75,0.75,8.6,8.8,0.097,0.106,1.71,1.26,2.10,1.30,13.0,13.0,7.9,14.4,17.3,19.9,0.86,107,67,7,7,0,4,4,0,13,2,50,0.07,6.92,650,0.86, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0101-04=,Stromboli,Italy,Stratovolcano,,NO,,Totally,38.788,15.211,0,886,11.3,3.80,3.03,4.47,0.42,0.74,0.87,0.89,3.5,3.7,0.228,0.193,1.42,1.16,1.52,1.10,26.9,27.2,22.2,29.7,21.0,32.5,0.62,69,17,2,1,1,0,0,0,14,1,150,0.17,3.20,800,0.90, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0101-041,Panarea,Italy,Stratovolcano,,NO,,Totally,38.638,15.063,0,396,3.68,2.17,1.71,2.97,0.12,0.39,0.39,0.40,0.44,0.46,0.180,0.179,1.86,1.13,1.88,1.07,19.2,19.3,15.0,25.0,17.6,26.7,0.76,40,28,0,0,0,0,0,0,6,0,100,0.25,1.51,350,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0101-042,Lipari,Italy,Stratovolcanoes,,NO,,Totally,38.505,14.934,0,575,40.8,7.21,5.57,9.79,4.73,2.45,0.57,0.58,8.3,8.3,0.080,0.341,1.87,1.32,1.77,1.41,14.3,14.5,9.8,16.0,12.8,18.8,0.35,160,4,10,8,2,0,0,0,8,3,50,0.09,6.49,400,0.70, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0101-05=,Vulcano,Italy,Stratovolcanoes,The whole island is considered,NO,Large but incomplete crater,Totally,38.382,14.990,0,478,20.1,5.06,3.64,7.20,11.7,3.86,0.48,0.48,3.9,4.0,0.094,0.762,2.04,1.13,2.07,1.46,16.4,16.8,15.1,20.7,16.2,20.7,0.31,130,123,6,3,3,2,1,1,2,6,100,0.21,4.28,150,0.31, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0101-06=,Etna,Italy,Stratovolcanoes,Outline delineation problematic,NO,,No,37.754,14.995,226,3308,455,24.1,22.7,25.4,0.38,0.70,2.42,3.08,273,556,0.100,0.029,1.13,1.11,1.62,1.13,11.0,11.0,9.3,12.6,11.3,22.5,0.96,134,6,16,16,0,0,0,0,39,1,1350,0.36,17.4,3250,0.98, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0101-071,Pantelleria,Italy,Shield volcano,,NO,,Totally,36.780,12.004,0,819,83.9,10.3,7.10,13.5,16.1,4.53,0.81,0.82,18.3,18.9,0.079,0.438,1.71,1.17,1.88,1.39,10.3,9.4,8.3,9.6,14.1,10.8,0.37,131,144,9,6,3,2,2,0,7,9,50,0.06,9.65,350,0.43, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0102-03=,Mílos,Greece,Stratovolcanoes,,NO,,Partially,36.676,24.382,0,730,63.3,8.98,6.86,10.3,2.35,1.73,0.70,0.73,8.8,10.8,0.078,0.193,1.57,1.31,2.33,1.27,12.1,11.7,11.1,14.5,22.3,19.3,0.62,119,100,14,13,1,0,0,0,5,5,250,0.34,3.70,450,0.62, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0102-05=,Nisyros,Greece,Stratovolcano,,YES,Crater considered as summit region,Totally,36.588,27.155,0,681,40.7,7.20,6.41,8.24,11.0,3.74,0.66,0.68,7.9,8.5,0.091,0.519,1.34,1.18,1.53,1.36,14.5,14.5,13.1,15.8,ND,ND,ND,122,109,0,0,ND,0,0,ND,1,ND,150,0.22,5.80,crater,ND,89,0.13,11.0,3.74,4.03,39,0.29,0.59,0.96,4.34,1.16,1.09,0.08,0.52,0.44,0.12,19.0
0103-002,Hasan Dagi,Turkey,Stratovolcano,Summit region includes two main peaks,NO,,No,38.126,34.164,1122,3234,148,13.7,11.0,17.7,14.0,4.22,1.64,2.11,56,124,0.119,0.308,1.68,1.25,2.15,1.34,14.8,13.8,12.3,17.7,25.0,22.0,0.68,102,101,10,7,3,3,3,0,10,13,2100,0.46,8.04,2550,0.68, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0103-01=,Erciyes Dagi,Turkey,Stratovolcano,,NO,,No,38.531,35.447,1435,3867,252,17.9,16.1,19.8,0.11,0.37,1.93,2.43,114,223,0.108,0.021,1.24,1.31,2.08,1.30,15.4,15.4,14.2,17.0,20.8,35.3,0.95,20,97,44,44,0,1,1,0,30,1,2350,0.38,11.6,3800,0.97, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0103-011,Karaca Dag,Turkey,Shield volcano,Outline delineation problematic because of very low slopes,NO,,No,37.712,39.828,996,1945,680,29.4,23.2,36.8,29.9,6.17,0.78,0.95,176,290,0.027,0.210,1.59,1.20,2.51,1.56,4.7,4.7,3.9,5.1,4.7,5.8,0.58,171,175,27,20,7,4,4,0,11,2,1300,0.32,24.1,1800,0.85, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0103-02=,Nemrut Dagi,Turkey,Stratovolcano,No closed elevation contours on flank,YES,Crater considered as summit region,No,38.654,42.255,1451,2917,151,13.9,10.3,16.9,47.0,7.74,0.82,1.47,37,136,0.059,0.558,1.57,1.28,ND,ND,13.3,13.3,ND,ND,ND,ND,ND,109,ND,5,5,ND,0,0,ND,0,ND,ND,ND,ND,crater,ND,2248,0.54,47.0,7.74,8.67,100,0.53,0.66,13.1,25.8,1.26,1.07,0.07,0.56,0.64,0.35,11.3
0103-021,Süphan Dagi,Turkey,Stratovolcano,,NO,,No,38.926,42.827,2211,4030,107,11.7,10.0,13.6,5.03,2.53,1.45,1.82,48,83,0.124,0.217,1.44,1.25,1.44,1.20,17.3,17.2,16.1,18.9,18.1,23.6,0.82,173,76,6,4,2,2,2,0,17,4,3000,0.43,7.81,3800,0.87, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0103-03=,Tendürek Dagi,Turkey,Shield volcano,,YES,,No,39.355,43.873,2288,3509,200,16.0,13.8,18.5,2.95,1.94,0.91,1.22,57,117,0.057,0.122,1.35,1.17,1.76,1.14,7.5,7.4,7.7,6.9,11.3,8.8,0.58,146,79,4,4,0,0,0,0,8,0,3000,0.58,9.18,3350,0.87,3145,0.70,1.05,1.16,1.34,48,0.27,0.36,0.11,0.22,1.34,1.08,0.23,0.07,0.29,0.002,24.3
0103-04-,Ararat,Turkey,Stratovolcano,Artificial 'sink' in SRTM DEM was corrected,NO,,No,39.702,44.298,1675,5100,316,20.1,17.0,23.5,3.47,2.10,2.93,3.43,226,371,0.146,0.105,1.45,1.16,1.65,1.19,16.7,16.6,15.1,18.3,24.9,33.4,0.85,153,134,14,14,0,6,6,0,39,7,2800,0.33,13.9,4700,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0104-01-,Elbrus,Russia-SW,Stratovolcano,Summit region includes two main peaks,NO,,No,43.352,42.437,3561,5610,54.1,8.30,6.83,9.51,2.59,1.82,1.68,2.05,31.4,52.0,0.202,0.219,1.33,1.21,1.69,1.14,26.3,26.4,25.4,27.0,25.9,29.9,0.87,76,88,4,3,1,0,0,0,22,5,4300,0.36,6.57,5350,0.87, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0104-02-,Kasbek,Georgia,Stratovolcano,Outline delineation problematic,NO,,No,42.696,44.518,966,4994,574,27.0,20.1,32.5,42.8,7.38,3.09,4.03,506,1072,0.114,0.273,1.48,1.26,3.87,2.38,27.4,27.3,27.2,29.1,28.8,29.4,0.72,42,117,54,41,13,1,1,0,3,21,3800,0.70,8.36,3900,0.73, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0104-06-,Aragats,Armenia,Stratovolcano,,NO,,No,40.523,44.195,1565,4027,783,31.6,27.8,33.9,3.81,2.20,1.91,2.46,465,869,0.060,0.070,1.23,1.18,2.35,1.85,10.1,10.1,8.8,10.7,25.5,21.6,0.87,59,69,21,17,4,0,0,0,26,6,2450,0.36,25.8,3700,0.87, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
